"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.420517917E0,1.319634765E-1,3.000098467E-1,-4.428483844E-1,5.509400682E-1
1.430460917E0,1.997442991E-1,2.694807947E-1,-4.090566635E-1,5.290038163E-1
1.440402917E0,3.159183264E-1,2.078810930E-1,-4.467231035E-1,5.853037408E-1
1.450345917E0,4.489494562E-1,1.505232006E-1,-5.461423397E-1,7.228307571E-1
1.460287917E0,5.781433582E-1,1.117126718E-1,-6.911410689E-1,9.079677532E-1
1.470230917E0,6.823206544E-1,4.415955022E-2,-8.575849533E-1,1.096796924E0
1.480173917E0,7.236102819E-1,3.575907089E-3,-1.018743396E0,1.249585025E0
1.490115917E0,6.764473319E-1,-1.507925615E-2,-1.144755960E0,1.329764860E0
1.500058917E0,5.877289176E-1,-6.308134180E-3,-1.214561105E0,1.349304914E0
1.510000917E0,4.690366685E-1,1.036227122E-2,-1.233024955E0,1.319262412E0
1.519943917E0,3.347350657E-1,8.257921040E-2,-1.199560761E0,1.248123756E0
1.529885917E0,2.388804257E-1,1.443768293E-1,-1.151769996E0,1.185108708E0
1.539828917E0,2.029543817E-1,1.648392230E-1,-1.102397680E0,1.132979742E0
1.549770917E0,2.170055062E-1,1.537199616E-1,-1.073040366E0,1.105502982E0
1.559713917E0,2.835158110E-1,1.119839698E-1,-1.060328364E0,1.103275969E0
1.569655917E0,3.804279864E-1,4.432769492E-2,-1.067945242E0,1.134547239E0
1.579598917E0,4.741576612E-1,-5.439328030E-3,-1.086878181E0,1.185815860E0
1.589541917E0,5.532001853E-1,-2.241506800E-2,-1.108744383E0,1.239292938E0
1.599483917E0,5.987476707E-1,1.464308519E-2,-1.119038224E0,1.269235888E0
1.609426917E0,6.096911430E-1,6.402999908E-2,-1.122007012E0,1.278562813E0
1.619368917E0,5.744604468E-1,7.931068540E-2,-1.125932693E0,1.266498883E0
1.629311917E0,5.256670117E-1,6.662651896E-2,-1.128374338E0,1.246592775E0
1.639253917E0,4.790260196E-1,5.381511897E-2,-1.140130043E0,1.237844299E0
1.649196917E0,4.511884749E-1,-2.153064683E-2,-1.157478690E0,1.242494075E0
1.659138917E0,4.550873339E-1,-8.297243714E-2,-1.162413478E0,1.251077136E0
1.669081917E0,4.777669907E-1,-1.096042693E-1,-1.156605124E0,1.256188603E0
1.679023917E0,5.125545263E-1,-1.086628363E-1,-1.151839375E0,1.265406536E0
1.688966917E0,5.557351708E-1,-7.285517454E-2,-1.157928586E0,1.286447848E0
1.698909917E0,5.928753614E-1,-5.561706051E-2,-1.170173764E0,1.312974139E0
1.708851917E0,6.381409168E-1,-5.867058039E-2,-1.170673132E0,1.334594189E0
1.718794917E0,6.756741405E-1,-5.499381945E-2,-1.153464556E0,1.337923894E0
1.728736917E0,7.042577863E-1,-5.449836701E-2,-1.130957007E0,1.333421484E0
1.738679917E0,7.508945465E-1,-3.933565691E-2,-1.113564134E0,1.343657320E0
1.748621917E0,8.476743102E-1,-2.622503415E-2,-1.143453598E0,1.423631139E0
1.758564917E0,9.599643350E-1,-2.031388134E-2,-1.227963686E0,1.558794083E0
1.768506917E0,1.054813504E0,2.987680724E-3,-1.341804028E0,1.706774298E0
1.778449917E0,1.117868543E0,1.118781976E-2,-1.442343235E0,1.824858694E0
1.788391917E0,1.151379585E0,-9.934930131E-3,-1.494506121E0,1.886616600E0
1.798334917E0,1.165455699E0,-3.330470249E-2,-1.469472647E0,1.875832095E0
1.808277917E0,1.165994048E0,-3.943966702E-2,-1.379104733E0,1.806385195E0
1.818219917E0,1.177363396E0,-3.241611272E-2,-1.259467840E0,1.724382385E0
1.828162917E0,1.240702868E0,-1.542956475E-2,-1.160839438E0,1.699155637E0
1.838104917E0,1.341038823E0,3.679369017E-2,-1.106485844E0,1.738979535E0
1.848047917E0,1.431564331E0,9.852847457E-2,-1.111486793E0,1.815072226E0
1.857989917E0,1.484621882E0,1.289103478E-1,-1.155930519E0,1.885973323E0
1.867932917E0,1.487041354E0,8.536736667E-2,-1.203380585E0,1.914864070E0
1.877874917E0,1.466310978E0,4.549878463E-2,-1.207063437E0,1.899773714E0
