"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.852038180E-1,-2.793485165E0,-1.413544178E0,-1.086206436E-1,3.132645041E0
5.899742870E-1,-2.785014153E0,-1.439015627E0,-2.467918396E-2,3.134912896E0
5.947447560E-1,-2.731772423E0,-1.442354918E0,8.949661255E-2,3.090465648E0
5.995152770E-1,-2.719181776E0,-1.464530230E0,2.124376297E-1,3.095791994E0
6.042857450E-1,-2.677526712E0,-1.467809677E0,3.157043457E-1,3.069736760E0
6.090562140E-1,-2.658690929E0,-1.492903471E0,4.161157608E-1,3.077425963E0
6.138266830E-1,-2.645291805E0,-1.516187906E0,4.995298386E-1,3.089647967E0
6.185971520E-1,-2.619964838E0,-1.535536051E0,5.352687836E-1,3.083601691E0
6.233676200E-1,-2.570254564E0,-1.615153551E0,5.426845551E-1,3.083737350E0
6.281380890E-1,-2.521876335E0,-1.692920208E0,5.124940872E-1,3.080339148E0
6.329086100E-1,-2.488706589E0,-1.766427755E0,4.473199844E-1,3.084480940E0
6.376790790E-1,-2.496657372E0,-1.821262836E0,4.352207184E-1,3.120851394E0
6.424495480E-1,-2.543038368E0,-1.857555628E0,3.950605392E-1,3.173898216E0
6.472200160E-1,-2.575347424E0,-1.908487082E0,3.150978088E-1,3.220873161E0
6.519904850E-1,-2.622273445E0,-1.942784071E0,2.145185471E-1,3.270588047E0
6.567609540E-1,-2.667331457E0,-1.967434168E0,1.432666779E-1,3.317526134E0
6.615314230E-1,-2.727386713E0,-1.946682930E0,8.918666840E-2,3.352039226E0
6.663018910E-1,-2.712274313E0,-1.930440903E0,3.541278839E-2,3.329307449E0
6.710724120E-1,-2.627457857E0,-1.918436289E0,-5.378913879E-2,3.253740287E0
6.758428810E-1,-2.554383278E0,-1.922389746E0,-8.793926239E-2,3.198154089E0
6.806133500E-1,-2.457402229E0,-1.927895784E0,-1.506032944E-1,3.127025619E0
6.853838180E-1,-2.391432285E0,-1.961068392E0,-2.439670563E-1,3.102298750E0
6.901542870E-1,-2.344286203E0,-1.981364012E0,-3.202905655E-1,3.086108747E0
6.949247560E-1,-2.216295242E0,-2.012623787E0,-3.915767670E-1,3.019263399E0
6.996952250E-1,-2.105686903E0,-1.995488882E0,-4.364233017E-1,2.933659576E0
7.044656930E-1,-1.972182274E0,-1.996926069E0,-4.811115265E-1,2.847575275E0
7.092362140E-1,-1.856571794E0,-1.974119902E0,-5.113487244E-1,2.757804512E0
7.140066830E-1,-1.811270118E0,-1.955949783E0,-5.366554260E-1,2.719271601E0
7.187771520E-1,-1.790896773E0,-1.937769890E0,-5.308609009E-1,2.691482249E0
7.235476200E-1,-1.755107403E0,-1.900811672E0,-5.202083588E-1,2.638958837E0
7.283180890E-1,-1.732639670E0,-1.902465343E0,-5.070056915E-1,2.622683622E0
7.330885580E-1,-1.709143758E0,-1.885698318E0,-4.745063782E-1,2.588858211E0
7.378590270E-1,-1.641659141E0,-1.936401129E0,-4.655361176E-1,2.580972286E0
7.426294950E-1,-1.582448483E0,-1.956879854E0,-4.584379196E-1,2.558063191E0
7.474000160E-1,-1.481070399E0,-2.011519432E0,-4.793424606E-1,2.543530843E0
7.521704850E-1,-1.410933614E0,-2.043088198E0,-5.018758774E-1,2.533144773E0
7.569409540E-1,-1.335801840E0,-2.099206448E0,-5.759849548E-1,2.553975907E0
7.617114230E-1,-1.281708479E0,-2.139136791E0,-6.372108459E-1,2.573853240E0
7.664818910E-1,-1.279540658E0,-2.148557425E0,-7.403945923E-1,2.608008331E0
7.712523600E-1,-1.281689048E0,-2.170444489E0,-8.448600769E-1,2.658447788E0
7.760228290E-1,-1.278782129E0,-2.199735880E0,-9.554729462E-1,2.717912844E0
7.807933500E-1,-1.242624283E0,-2.162429571E0,-1.067567825E0,2.712916847E0
7.855638180E-1,-1.154365063E0,-2.165709734E0,-1.152721405E0,2.711387834E0
7.903342870E-1,-9.977000952E-1,-2.149576187E0,-1.251690388E0,2.680076882E0
7.951047560E-1,-8.062403202E-1,-2.147144079E0,-1.338392258E0,2.655474531E0
7.998752250E-1,-6.823573112E-1,-2.136686563E0,-1.432063103E0,2.661173745E0
8.046456930E-1,-5.733720064E-1,-2.122780323E0,-1.520908356E0,2.673595703E0
8.094161620E-1,-4.601614177E-1,-2.079153538E0,-1.583631992E0,2.653774341E0
8.141866310E-1,-3.310558200E-1,-2.048722982E0,-1.622837543E0,2.634476325E0
8.189571000E-1,-1.410434246E-1,-1.976634264E0,-1.631579876E0,2.566910429E0
8.237276200E-1,5.960613489E-2,-1.924969435E0,-1.638603210E0,2.528651953E0
